code_op;nom_op;num_site;id_site_partage;id_station_anfr;x;y;latitude;longitude;nom_reg;nom_dep;insee_dep;nom_com;insee_com;site_2g;site_3g;site_4g;site_5g;mes_4g_trim;site_ZB;site_DCC;site_strategique;site_capa_240mbps;date_ouverturecommerciale_5g;site_5g_700_m_hz;site_5g_800_m_hz;site_5g_1800_m_hz;site_5g_2100_m_hz;site_5g_3500_m_hz
20801;Orange;00003504R1;;0762290191;523804;6933923;49,48027;0,56917;Normandie;Seine-Maritime;76;Port-Jérôme-sur-Seine;76476;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00003521R1;;0762290196;562315;6959644;49,72084;1,09166;Normandie;Seine-Maritime;76;Val-de-Scie;76034;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00003652Z1;;0502290105;378143;6851400;48,6825;-1,37417;Normandie;Manche;50;Avranches;50025;1;1;1;1;0;0;0;0;1;2022-12-22;0;0;0;0;1
20801;Orange;00003656Z1;;0502290092;384742;6844295;48,62194;-1,27944;Normandie;Manche;50;Ducey-Les Chéris;50168;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00003661Z1;;0502290094;398349;6898195;49,1125;-1,13334;Normandie;Manche;50;Agneaux;50002;1;1;1;1;0;0;0;0;1;2022-07-21;0;0;0;0;1
20801;Orange;00003666Z1;;0502290185;375274;6892798;49,05278;-1,44472;Normandie;Manche;50;Coutances;50147;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00003678Z1;;0142290163;452763;6919137;49,32389;-0,40111;Normandie;Calvados;14;Saint-Aubin-sur-Mer;14562;1;1;1;1;0;0;0;0;1;2022-09-22;0;0;0;0;1
20801;Orange;00003693Z1;;0612290056;430909;6828157;48,49778;-0,64362;Normandie;Orne;61;Ceaucé;61075;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00003851Z1;;0502290137;374085;6959816;49,65361;-1,51333;Normandie;Manche;50;Bretteville;50077;1;1;1;1;0;0;0;0;1;2023-05-24;0;0;0;0;1
20801;Orange;00004103R1;;0272290142;582583;6923420;49,39944;1,38278;Normandie;Eure;27;Charleval;27151;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00004449R1;;0762290305;563373;6930028;49,455;1,11611;Normandie;Seine-Maritime;76;Bihorel;76095;0;1;1;1;0;0;0;0;1;2023-11-30;0;0;0;0;1
20801;Orange;00004451R1;;0762290311;562664;6932395;49,47611;1,10556;Normandie;Seine-Maritime;76;Bois-Guillaume;76108;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00004452R1;;0762290264;564565;6925889;49,41806;1,13389;Normandie;Seine-Maritime;76;Bonsecours;76103;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00004453R1;;0762290347;565967;6928916;49,44555;1,15223;Normandie;Seine-Maritime;76;Darnétal;76212;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00004454R1;;0762290298;565122;6924701;49,4075;1,14195;Normandie;Seine-Maritime;76;Le Mesnil-Esnard;76429;1;1;1;1;0;0;0;0;1;2022-10-11;0;0;0;0;1
